--- Log Started: 01/19/2026 10:51:04 (Level: 1) ---
10:51:05.203 [INFO] ThemeApply: Checking for PmcThemeManager type...
10:51:05.207 [INFO] ThemeApply: PmcThemeManager type found, getting instance...
10:51:05.325 [INFO] ThemeApply: ThemeManager instance: True
10:51:05.327 [INFO] ThemeApply: PmcTheme: True
10:51:05.330 [INFO] ThemeApply: Theme PaletteName: Cyberpunk
10:51:05.330 [INFO] ThemeApply: Theme Hex: #00f3ff
10:51:05.333 [INFO] ThemeApply: Properties null: False
10:51:05.335 [INFO] ThemeApply: Properties count: 50
10:51:05.340 [INFO] ThemeApply: Property keys (first 10): Foreground.TabInactive, Foreground.Success, Foreground.Field, Background.Row, Muted, Border, Background.Field, Foreground.Muted, Background.Selection, Success
10:51:05.383 [INFO] ThemeApply: Theme 'Cyberpunk' applied to Colors class
10:51:13.622 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.658 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.684 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.712 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.738 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.765 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.792 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.820 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.847 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.876 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.917 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.956 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:13.984 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.013 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.044 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.071 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.099 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.126 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.153 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.180 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.208 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:14.236 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
